date,open,high,low,close,volume,Indicator[mal],Indicator[edgeMain],Indicator[mam],Indicator[mas],Indicator[mas_div]*,Indicator[edgeHalf],Indicator[upper_div]*,TradeRecordTable[deadTrade]_long,TradeRecordTable[deadTrade]_short,TradeRecordTable[deadTrade]_release,TradeRecordTable[goldenTrade]_long,TradeRecordTable[goldenTrade]_short,TradeRecordTable[goldenTrade]_release,blank
2007-05-03T10:38:00Z,1.356,1.3561,1.3559,1.3561,0.0,nan,nan,nan,nan,nan,nan,nan,,,,,,,
2007-05-03T10:39:00Z,1.3562,1.3562,1.3561,1.3561,0.0,nan,nan,nan,nan,nan,nan,nan,,,,,,,
2007-05-03T10:40:00Z,1.356,1.3561,1.356,1.356,0.0,nan,nan,nan,nan,nan,nan,nan,,,,,,,
2007-05-03T10:41:00Z,1.3561,1.3561,1.356,1.356,0.0,nan,nan,nan,nan,nan,nan,nan,,,,,,,
2007-05-03T10:42:00Z,1.3561,1.3561,1.3559,1.356,0.0,nan,nan,nan,nan,nan,nan,-2.500000000016378e-005,,,,,,,
2007-05-03T10:43:00Z,1.3559,1.3559,1.3559,1.3559,0.0,nan,nan,nan,nan,nan,nan,-2.499999999994174e-005,,,,,,,
2007-05-03T10:44:00Z,1.356,1.3561,1.3559,1.356,0.0,nan,nan,nan,nan,nan,nan,0.0,,,,,,,
2007-05-03T10:45:00Z,1.3561,1.3562,1.356,1.3562,0.0,nan,nan,nan,nan,nan,nan,-7.499999999982521e-005,,,,,,,
2007-05-03T10:46:00Z,1.3561,1.3562,1.3561,1.3562,0.0,nan,nan,nan,nan,nan,nan,0.0,,,,,,,
2007-05-03T10:47:00Z,1.3561,1.3562,1.356,1.356,0.0,nan,nan,nan,nan,nan,nan,2.499999999994174e-005,,,,,,,
2007-05-03T10:48:00Z,1.3561,1.3562,1.3561,1.3562,0.0,nan,nan,nan,nan,nan,nan,2.499999999994174e-005,,,,,,,
2007-05-03T10:49:00Z,1.3563,1.3564,1.3563,1.3564,0.0,nan,nan,nan,nan,nan,nan,7.500000000004725e-005,,,,,,,
2007-05-03T10:50:00Z,1.3565,1.3567,1.3564,1.3566,0.0,nan,nan,nan,nan,nan,nan,2.499999999994174e-005,,,,,,,
2007-05-03T10:51:00Z,1.3567,1.3567,1.3567,1.3567,0.0,nan,nan,nan,nan,nan,nan,4.999999999988347e-005,,,,,,,
2007-05-03T10:52:00Z,1.3566,1.357,1.3566,1.357,0.0,nan,nan,nan,nan,nan,nan,0.0001250000000001528,,,,,,,
2007-05-03T10:53:00Z,1.3569,1.3571,1.3568,1.357,0.0,nan,nan,nan,nan,nan,nan,0.0001249999999999307,,,,,,,
2007-05-03T10:54:00Z,1.3571,1.3571,1.3569,1.357,0.0,nan,nan,nan,nan,nan,nan,0.000199999999999978,,,,,,,
2007-05-03T10:55:00Z,1.3571,1.3571,1.3569,1.357,0.0,nan,nan,nan,nan,nan,nan,0.0001750000000000362,,,,,,,
2007-05-03T10:56:00Z,1.3569,1.357,1.3569,1.3569,0.0,nan,nan,nan,nan,nan,1.357,9.999999999998899e-005,,,,,,,
2007-05-03T10:57:00Z,1.3568,1.3569,1.3568,1.3569,0.0,nan,nan,nan,nan,nan,1.3569,9.999999999998899e-005,,,,,,,
2007-05-03T10:58:00Z,1.357,1.357,1.3569,1.357,0.0,nan,nan,nan,nan,nan,nan,0.0,,,,,,,
2007-05-03T10:59:00Z,1.3569,1.357,1.3568,1.3568,0.0,nan,nan,nan,nan,nan,nan,-4.999999999988347e-005,,,,,,,
2007-05-03T11:00:00Z,1.3567,1.3569,1.3567,1.3568,0.0,nan,nan,nan,nan,nan,nan,-2.500000000016378e-005,,,,,,,
2007-05-03T11:01:00Z,1.3569,1.3569,1.3568,1.3569,0.0,nan,nan,nan,nan,nan,nan,-2.499999999994174e-005,,,,,,,
2007-05-03T11:02:00Z,1.3568,1.3569,1.3568,1.3568,0.0,nan,nan,nan,nan,nan,nan,-2.500000000016378e-005,,,,,,,
2007-05-03T11:03:00Z,1.3567,1.3569,1.3567,1.3568,0.0,nan,nan,nan,nan,nan,nan,0.0,,,,,,,
2007-05-03T11:04:00Z,1.3569,1.357,1.3569,1.3569,0.0,nan,nan,nan,nan,nan,nan,-2.499999999994174e-005,,,,,,,
2007-05-03T11:05:00Z,1.357,1.357,1.3569,1.357,0.0,nan,nan,nan,nan,nan,nan,-2.499999999994174e-005,,,,,,,
2007-05-03T11:07:00Z,1.3569,1.357,1.3569,1.357,0.0,nan,nan,nan,nan,nan,nan,2.500000000016378e-005,,,,,,,
2007-05-03T11:08:00Z,1.3569,1.357,1.3569,1.357,0.0,nan,nan,nan,nan,nan,nan,2.499999999994174e-005,,,,,,,
2007-05-03T11:09:00Z,1.3569,1.357,1.3569,1.3569,0.0,nan,nan,nan,nan,nan,nan,2.499999999994174e-005,,,,,,,
2007-05-03T11:10:00Z,1.357,1.357,1.3568,1.3569,0.0,nan,nan,nan,nan,nan,nan,2.499999999994174e-005,,,,,,,
2007-05-03T11:11:00Z,1.3568,1.3568,1.3567,1.3567,0.0,nan,nan,nan,nan,nan,nan,0.0,,,,,,,
2007-05-03T11:12:00Z,1.3566,1.3566,1.3561,1.3562,0.0,nan,nan,nan,nan,nan,nan,0.0,,,,,,,
2007-05-03T11:13:00Z,1.3561,1.3563,1.3561,1.3562,0.0,nan,nan,nan,nan,nan,nan,-5.000000000010552e-005,,,,,,,
2007-05-03T11:14:00Z,1.3563,1.3564,1.3563,1.3564,0.0,nan,nan,nan,nan,nan,nan,-9.999999999976694e-005,,,,,,,
2007-05-03T11:15:00Z,1.3563,1.3563,1.3562,1.3562,0.0,nan,nan,nan,nan,nan,nan,-0.0001750000000000362,,,,,,,
2007-05-03T11:16:00Z,1.3563,1.3564,1.3562,1.3564,0.0,nan,nan,nan,nan,nan,nan,-0.0001500000000000945,,,,,,,
2007-05-03T11:17:00Z,1.3563,1.3565,1.3563,1.3563,0.0,nan,nan,nan,nan,nan,nan,-0.0001249999999999307,,,,,,,
2007-05-03T11:18:00Z,1.3564,1.3564,1.3563,1.3563,0.0,nan,nan,nan,nan,nan,nan,-5.000000000010552e-005,,,,,,,
2007-05-03T11:19:00Z,1.3562,1.3563,1.3559,1.356,0.0,nan,nan,nan,nan,nan,nan,4.999999999988347e-005,,,,,,,
